datetime,open,high,low,close,volume
2026-07-21 09:35:00+00:00,4063.19,4063.43,4062.81,4062.86,0.0
2026-07-21 09:36:00+00:00,4062.89,4062.9,4062.55,4062.62,0.0
2026-07-21 09:37:00+00:00,4062.62,4063.97,4062.13,4063.92,0.0
2026-07-21 09:38:00+00:00,4064.0,4064.13,4063.53,4063.53,0.0
2026-07-21 09:39:00+00:00,4063.54,4063.54,4061.94,4062.54,0.0
2026-07-21 09:40:00+00:00,4062.59,4062.94,4062.12,4062.37,0.0
2026-07-21 09:41:00+00:00,4062.45,4062.52,4061.87,4061.94,0.0
2026-07-21 09:42:00+00:00,4061.78,4061.94,4061.24,4061.46,0.0
2026-07-21 09:43:00+00:00,4061.47,4062.28,4061.28,4062.23,0.0
2026-07-21 09:44:00+00:00,4062.27,4062.91,4062.1,4062.59,0.0
2026-07-21 09:45:00+00:00,4062.55,4063.48,4062.31,4063.38,0.0
2026-07-21 09:46:00+00:00,4063.38,4065.34,4063.11,4064.47,0.0
2026-07-21 09:47:00+00:00,4064.79,4064.89,4064.18,4064.89,0.0
2026-07-21 09:48:00+00:00,4064.91,4066.02,4064.48,4066.02,0.0
2026-07-21 09:49:00+00:00,4066.32,4067.07,4066.21,4066.57,0.0
2026-07-21 09:50:00+00:00,4066.5,4066.5,4064.74,4064.85,0.0
2026-07-21 09:51:00+00:00,4064.87,4068.08,4064.69,4067.76,0.0
2026-07-21 09:52:00+00:00,4067.8,4068.24,4067.27,4068.12,0.0
2026-07-21 09:53:00+00:00,4068.12,4069.35,4068.01,4069.25,0.0
2026-07-21 09:54:00+00:00,4069.25,4069.63,4069.09,4069.09,0.0
2026-07-21 09:55:00+00:00,4069.18,4069.21,4068.11,4068.51,0.0
2026-07-21 09:56:00+00:00,4068.51,4069.24,4068.34,4068.89,0.0
2026-07-21 09:57:00+00:00,4068.93,4069.02,4067.13,4067.55,0.0
2026-07-21 09:58:00+00:00,4067.54,4068.17,4067.22,4068.12,0.0
2026-07-21 09:59:00+00:00,4068.17,4068.17,4065.9,4066.03,0.0
2026-07-21 10:00:00+00:00,4066.0,4067.23,4065.82,4066.05,0.0
2026-07-21 10:01:00+00:00,4066.05,4066.78,4066.05,4066.78,0.0
2026-07-21 10:02:00+00:00,4067.0,4068.02,4066.82,4067.89,0.0
2026-07-21 10:03:00+00:00,4067.86,4067.94,4066.2,4066.2,0.0
2026-07-21 10:04:00+00:00,4066.2,4066.2,4063.78,4064.08,0.0
2026-07-21 10:05:00+00:00,4064.09,4064.24,4063.68,4063.71,0.0
2026-07-21 10:06:00+00:00,4063.67,4063.84,4063.36,4063.48,0.0
2026-07-21 10:07:00+00:00,4063.47,4063.52,4062.97,4063.3,0.0
2026-07-21 10:08:00+00:00,4063.3,4063.39,4062.81,4062.87,0.0
2026-07-21 10:09:00+00:00,4062.86,4063.21,4061.74,4061.74,0.0
2026-07-21 10:10:00+00:00,4061.73,4064.74,4061.12,4064.71,0.0
2026-07-21 10:11:00+00:00,4064.73,4068.31,4064.46,4068.03,0.0
2026-07-21 10:12:00+00:00,4068.36,4068.36,4066.27,4066.55,0.0
2026-07-21 10:13:00+00:00,4066.48,4067.54,4066.41,4067.01,0.0
2026-07-21 10:14:00+00:00,4066.89,4067.4,4066.24,4066.33,0.0
2026-07-21 10:15:00+00:00,4066.39,4066.73,4065.18,4065.58,0.0
2026-07-21 10:16:00+00:00,4065.61,4067.27,4065.61,4066.68,0.0
2026-07-21 10:17:00+00:00,4066.7,4067.05,4066.25,4067.01,0.0
2026-07-21 10:18:00+00:00,4067.01,4068.27,4066.98,4067.82,0.0
2026-07-21 10:19:00+00:00,4067.81,4068.06,4067.52,4067.52,0.0
2026-07-21 10:20:00+00:00,4067.55,4067.79,4067.26,4067.69,0.0
2026-07-21 10:21:00+00:00,4067.75,4068.22,4067.17,4068.03,0.0
2026-07-21 10:22:00+00:00,4068.0,4068.39,4067.6,4068.06,0.0
2026-07-21 10:23:00+00:00,4067.74,4068.52,4067.55,4068.27,0.0
2026-07-21 10:24:00+00:00,4068.33,4068.73,4067.41,4067.53,0.0
2026-07-21 10:25:00+00:00,4067.54,4069.12,4067.35,4068.93,0.0
2026-07-21 10:26:00+00:00,4068.89,4069.35,4068.31,4068.95,0.0
2026-07-21 10:27:00+00:00,4068.97,4069.23,4067.9,4067.9,0.0
2026-07-21 10:28:00+00:00,4067.87,4068.22,4067.43,4067.73,0.0
2026-07-21 10:29:00+00:00,4067.67,4067.82,4066.41,4066.65,0.0
2026-07-21 10:30:00+00:00,4066.82,4067.72,4066.82,4067.42,0.0
2026-07-21 10:31:00+00:00,4067.44,4068.21,4067.43,4067.95,0.0
2026-07-21 10:32:00+00:00,4067.88,4067.9,4066.76,4067.88,0.0
2026-07-21 10:33:00+00:00,4067.94,4068.32,4067.24,4067.35,0.0
2026-07-21 10:34:00+00:00,4067.36,4068.47,4067.32,4068.42,0.0
2026-07-21 10:35:00+00:00,4068.33,4069.09,4068.15,4068.18,0.0
2026-07-21 10:36:00+00:00,4068.2,4069.96,4068.17,4069.53,0.0
2026-07-21 10:37:00+00:00,4069.54,4070.13,4068.85,4070.13,0.0
2026-07-21 10:38:00+00:00,4070.16,4070.19,4069.2,4069.2,0.0
2026-07-21 10:39:00+00:00,4069.2,4069.88,4068.71,4068.98,0.0
2026-07-21 10:40:00+00:00,4068.99,4068.99,4067.12,4067.74,0.0
2026-07-21 10:41:00+00:00,4067.77,4068.33,4067.54,4068.27,0.0
2026-07-21 10:42:00+00:00,4068.27,4068.48,4067.44,4067.46,0.0
2026-07-21 10:43:00+00:00,4067.48,4067.99,4067.47,4067.77,0.0
2026-07-21 10:44:00+00:00,4067.8,4067.93,4067.0,4067.2,0.0
2026-07-21 10:45:00+00:00,4067.2,4068.61,4067.06,4068.24,0.0
2026-07-21 10:46:00+00:00,4068.25,4068.52,4066.83,4066.83,0.0
2026-07-21 10:47:00+00:00,4066.81,4066.81,4064.12,4064.12,0.0
2026-07-21 10:48:00+00:00,4064.28,4064.38,4063.07,4063.83,0.0
2026-07-21 10:49:00+00:00,4063.82,4064.35,4063.12,4063.14,0.0
2026-07-21 10:50:00+00:00,4063.13,4064.36,4063.13,4063.36,0.0
2026-07-21 10:51:00+00:00,4063.41,4063.85,4063.07,4063.84,0.0
2026-07-21 10:52:00+00:00,4063.88,4065.67,4063.72,4065.54,0.0
2026-07-21 10:53:00+00:00,4065.27,4066.38,4065.27,4065.77,0.0
2026-07-21 10:54:00+00:00,4065.77,4066.04,4064.92,4064.92,0.0
2026-07-21 10:55:00+00:00,4064.94,4065.11,4064.22,4064.35,0.0
2026-07-21 10:56:00+00:00,4064.47,4064.96,4064.25,4064.95,0.0
2026-07-21 10:57:00+00:00,4064.96,4065.0,4062.81,4062.81,0.0
2026-07-21 10:58:00+00:00,4062.78,4063.95,4062.73,4062.83,0.0
2026-07-21 10:59:00+00:00,4062.95,4063.21,4062.78,4062.98,0.0
2026-07-21 11:00:00+00:00,4063.02,4063.72,4061.37,4061.37,0.0
2026-07-21 11:01:00+00:00,4061.23,4061.3,4060.25,4061.15,0.0
2026-07-21 11:02:00+00:00,4061.18,4061.98,4060.96,4061.06,0.0
2026-07-21 11:03:00+00:00,4061.04,4061.05,4059.61,4060.03,0.0
2026-07-21 11:04:00+00:00,4060.08,4060.13,4056.31,4056.7,0.0
2026-07-21 11:05:00+00:00,4056.84,4058.76,4056.79,4058.44,0.0
2026-07-21 11:06:00+00:00,4058.43,4059.02,4057.45,4057.45,0.0
2026-07-21 11:07:00+00:00,4057.43,4057.43,4055.69,4056.15,0.0
2026-07-21 11:08:00+00:00,4056.18,4057.16,4056.18,4056.89,0.0
2026-07-21 11:09:00+00:00,4056.91,4056.91,4055.69,4056.42,0.0
2026-07-21 11:10:00+00:00,4056.24,4057.36,4056.1,4056.77,0.0
2026-07-21 11:11:00+00:00,4056.85,4058.28,4056.85,4058.28,0.0
2026-07-21 11:12:00+00:00,4058.31,4059.14,4057.82,4058.57,0.0
2026-07-21 11:13:00+00:00,4058.52,4058.87,4057.94,4057.98,0.0
2026-07-21 11:14:00+00:00,4057.97,4058.73,4057.97,4058.65,0.0
2026-07-21 11:15:00+00:00,4058.65,4059.78,4058.61,4059.43,0.0
2026-07-21 11:16:00+00:00,4059.4,4059.5,4058.89,4058.89,0.0
2026-07-21 11:17:00+00:00,4058.82,4059.22,4058.6,4058.66,0.0
2026-07-21 11:18:00+00:00,4058.61,4059.72,4058.59,4058.95,0.0
2026-07-21 11:19:00+00:00,4058.94,4059.18,4058.24,4058.24,0.0
2026-07-21 11:20:00+00:00,4058.23,4058.28,4056.79,4057.16,0.0
2026-07-21 11:21:00+00:00,4057.2,4057.22,4056.38,4056.75,0.0
2026-07-21 11:22:00+00:00,4056.74,4057.93,4056.57,4057.93,0.0
2026-07-21 11:23:00+00:00,4057.9,4058.57,4057.9,4058.38,0.0
2026-07-21 11:24:00+00:00,4058.48,4059.5,4058.48,4059.5,0.0
2026-07-21 11:25:00+00:00,4059.49,4059.62,4057.37,4057.8,0.0
2026-07-21 11:26:00+00:00,4057.73,4058.46,4057.73,4058.38,0.0
2026-07-21 11:27:00+00:00,4058.37,4059.49,4058.0,4059.49,0.0
2026-07-21 11:28:00+00:00,4059.4,4059.75,4059.4,4059.58,0.0
2026-07-21 11:29:00+00:00,4059.59,4059.85,4058.18,4058.18,0.0
2026-07-21 11:30:00+00:00,4058.14,4059.73,4057.99,4059.46,0.0
2026-07-21 11:31:00+00:00,4059.47,4059.48,4058.23,4058.76,0.0
2026-07-21 11:32:00+00:00,4058.64,4059.13,4058.26,4058.26,0.0
2026-07-21 11:33:00+00:00,4058.23,4059.02,4058.14,4058.9,0.0
2026-07-21 11:34:00+00:00,4058.88,4059.23,4058.85,4058.94,0.0
2026-07-21 11:35:00+00:00,4058.97,4059.76,4058.83,4059.74,0.0
2026-07-21 11:36:00+00:00,4059.78,4060.91,4059.63,4060.62,0.0
2026-07-21 11:37:00+00:00,4060.54,4060.54,4059.93,4060.32,0.0
2026-07-21 11:38:00+00:00,4060.31,4060.65,4059.98,4060.02,0.0
2026-07-21 11:39:00+00:00,4060.26,4061.03,4059.89,4060.1,0.0
2026-07-21 11:40:00+00:00,4060.02,4060.09,4058.27,4058.27,0.0
2026-07-21 11:41:00+00:00,4058.24,4058.9,4057.4,4057.4,0.0
2026-07-21 11:42:00+00:00,4057.33,4057.53,4055.81,4055.92,0.0
2026-07-21 11:43:00+00:00,4055.89,4056.62,4055.67,4056.58,0.0
2026-07-21 11:44:00+00:00,4056.6,4056.7,4055.92,4056.19,0.0
2026-07-21 11:45:00+00:00,4056.15,4056.8,4054.64,4054.64,0.0
2026-07-21 11:46:00+00:00,4054.54,4055.27,4054.54,4055.2,0.0
2026-07-21 11:47:00+00:00,4055.2,4057.49,4055.2,4057.13,0.0
2026-07-21 11:48:00+00:00,4057.15,4057.3,4056.55,4056.79,0.0
2026-07-21 11:49:00+00:00,4056.44,4057.86,4056.41,4057.83,0.0
2026-07-21 11:50:00+00:00,4057.99,4058.53,4057.78,4058.42,0.0
2026-07-21 11:51:00+00:00,4058.41,4058.41,4057.32,4057.4,0.0
2026-07-21 11:52:00+00:00,4057.36,4057.5,4055.93,4055.93,0.0
2026-07-21 11:53:00+00:00,4056.03,4056.63,4056.03,4056.58,0.0
2026-07-21 11:54:00+00:00,4056.57,4056.88,4056.18,4056.45,0.0
2026-07-21 11:55:00+00:00,4056.58,4056.6,4056.2,4056.54,0.0
2026-07-21 11:56:00+00:00,4056.75,4057.1,4056.42,4056.64,0.0
2026-07-21 11:57:00+00:00,4056.62,4056.63,4055.17,4055.31,0.0
2026-07-21 11:58:00+00:00,4055.31,4056.26,4055.18,4056.11,0.0
2026-07-21 11:59:00+00:00,4056.15,4056.46,4055.77,4056.07,0.0
2026-07-21 12:00:00+00:00,4056.14,4058.86,4056.09,4057.91,0.0
2026-07-21 12:01:00+00:00,4057.89,4057.96,4056.4,4056.49,0.0
2026-07-21 12:02:00+00:00,4056.53,4057.86,4056.1,4057.68,0.0
2026-07-21 12:03:00+00:00,4057.79,4058.77,4057.75,4058.74,0.0
2026-07-21 12:04:00+00:00,4058.56,4058.73,4058.03,4058.47,0.0
2026-07-21 12:05:00+00:00,4058.43,4059.06,4058.3,4058.95,0.0
2026-07-21 12:06:00+00:00,4059.07,4060.33,4058.34,4060.32,0.0
2026-07-21 12:07:00+00:00,4060.34,4061.06,4060.3,4060.47,0.0
2026-07-21 12:08:00+00:00,4060.19,4060.53,4059.45,4059.45,0.0
2026-07-21 12:09:00+00:00,4059.43,4059.47,4058.44,4058.78,0.0
2026-07-21 12:10:00+00:00,4058.76,4058.76,4056.6,4057.1,0.0
2026-07-21 12:11:00+00:00,4057.12,4057.86,4057.05,4057.45,0.0
2026-07-21 12:12:00+00:00,4057.45,4059.04,4057.44,4058.98,0.0
2026-07-21 12:13:00+00:00,4058.98,4059.56,4058.62,4059.1,0.0
2026-07-21 12:14:00+00:00,4059.08,4059.5,4058.64,4059.5,0.0
2026-07-21 12:15:00+00:00,4059.49,4059.8,4057.02,4057.15,0.0
2026-07-21 12:16:00+00:00,4056.91,4057.7,4056.24,4057.57,0.0
2026-07-21 12:17:00+00:00,4057.57,4060.29,4057.34,4059.75,0.0
2026-07-21 12:18:00+00:00,4059.81,4060.22,4058.97,4059.06,0.0
2026-07-21 12:19:00+00:00,4059.02,4059.58,4058.57,4059.2,0.0
2026-07-21 12:20:00+00:00,4059.18,4061.17,4058.36,4058.46,0.0
2026-07-21 12:21:00+00:00,4058.53,4060.68,4057.97,4060.63,0.0
2026-07-21 12:22:00+00:00,4060.66,4060.84,4059.31,4059.53,0.0
2026-07-21 12:23:00+00:00,4059.27,4061.23,4058.86,4061.23,0.0
2026-07-21 12:24:00+00:00,4062.43,4065.51,4061.86,4065.19,0.0
2026-07-21 12:25:00+00:00,4065.23,4065.24,4061.27,4061.27,0.0
2026-07-21 12:26:00+00:00,4061.17,4063.38,4061.17,4062.84,0.0
2026-07-21 12:27:00+00:00,4063.29,4063.29,4061.72,4061.84,0.0
2026-07-21 12:28:00+00:00,4061.84,4062.19,4060.88,4061.26,0.0
2026-07-21 12:29:00+00:00,4061.26,4062.37,4061.17,4061.61,0.0
2026-07-21 12:30:00+00:00,4061.65,4063.59,4061.22,4062.28,0.0
2026-07-21 12:31:00+00:00,4062.25,4062.46,4060.98,4062.24,0.0
2026-07-21 12:32:00+00:00,4062.25,4062.34,4061.44,4062.15,0.0
2026-07-21 12:33:00+00:00,4062.16,4063.79,4061.17,4061.17,0.0
2026-07-21 12:34:00+00:00,4061.26,4061.73,4059.29,4059.62,0.0
2026-07-21 12:35:00+00:00,4059.54,4059.6,4055.95,4056.27,0.0
2026-07-21 12:36:00+00:00,4056.34,4057.19,4055.68,4055.68,0.0
2026-07-21 12:37:00+00:00,4055.61,4055.9,4053.94,4055.41,0.0
2026-07-21 12:38:00+00:00,4055.49,4055.74,4054.2,4054.84,0.0
2026-07-21 12:39:00+00:00,4054.82,4055.86,4054.55,4055.17,0.0
2026-07-21 12:40:00+00:00,4055.22,4056.16,4054.36,4055.28,0.0
2026-07-21 12:41:00+00:00,4055.27,4055.44,4053.33,4054.93,0.0
2026-07-21 12:42:00+00:00,4054.78,4055.33,4054.47,4054.89,0.0
2026-07-21 12:43:00+00:00,4054.94,4055.83,4052.33,4053.43,0.0
2026-07-21 12:44:00+00:00,4052.32,4054.4,4051.44,4054.05,0.0
2026-07-21 12:45:00+00:00,4054.08,4056.03,4054.08,4055.27,0.0
2026-07-21 12:46:00+00:00,4055.56,4056.05,4053.77,4054.14,0.0
2026-07-21 12:47:00+00:00,4054.39,4057.71,4054.39,4057.69,0.0
2026-07-21 12:48:00+00:00,4057.68,4060.84,4057.63,4060.38,0.0
2026-07-21 12:49:00+00:00,4060.42,4062.17,4060.2,4060.21,0.0
2026-07-21 12:50:00+00:00,4060.17,4060.19,4057.78,4058.19,0.0
2026-07-21 12:51:00+00:00,4058.3,4059.13,4057.53,4057.6,0.0
2026-07-21 12:52:00+00:00,4057.64,4057.93,4056.43,4056.55,0.0
2026-07-21 12:53:00+00:00,4056.73,4056.73,4055.52,4056.59,0.0
2026-07-21 12:54:00+00:00,4056.4,4056.64,4055.65,4055.77,0.0
2026-07-21 12:55:00+00:00,4055.78,4055.78,4053.37,4053.62,0.0
2026-07-21 12:56:00+00:00,4053.62,4054.04,4052.97,4053.83,0.0
2026-07-21 12:57:00+00:00,4053.88,4055.27,4053.19,4054.81,0.0
2026-07-21 12:58:00+00:00,4054.75,4055.36,4053.97,4054.22,0.0
2026-07-21 12:59:00+00:00,4054.13,4055.86,4053.52,4054.16,0.0
2026-07-21 13:00:00+00:00,4054.1,4058.73,4054.1,4058.06,0.0
2026-07-21 13:01:00+00:00,4058.22,4060.05,4058.22,4059.27,0.0
2026-07-21 13:02:00+00:00,4059.39,4060.28,4058.94,4059.23,0.0
2026-07-21 13:03:00+00:00,4059.23,4060.47,4057.44,4057.77,0.0
2026-07-21 13:04:00+00:00,4058.15,4058.15,4056.15,4057.0,0.0
2026-07-21 13:05:00+00:00,4057.06,4059.98,4057.06,4059.02,0.0
2026-07-21 13:06:00+00:00,4059.17,4059.83,4058.49,4059.26,0.0
2026-07-21 13:07:00+00:00,4059.35,4060.46,4058.52,4059.8,0.0
2026-07-21 13:08:00+00:00,4059.52,4060.17,4058.74,4059.66,0.0
2026-07-21 13:09:00+00:00,4059.66,4059.96,4057.43,4057.72,0.0
2026-07-21 13:10:00+00:00,4057.74,4058.77,4057.44,4058.05,0.0
2026-07-21 13:11:00+00:00,4058.05,4058.92,4058.0,4058.26,0.0
2026-07-21 13:12:00+00:00,4058.19,4058.63,4057.75,4057.93,0.0
2026-07-21 13:13:00+00:00,4057.92,4058.21,4056.94,4057.79,0.0
2026-07-21 13:14:00+00:00,4057.72,4060.44,4057.72,4059.95,0.0
2026-07-21 13:15:00+00:00,4059.89,4061.75,4059.28,4060.5,0.0
2026-07-21 13:16:00+00:00,4060.45,4060.45,4057.06,4057.06,0.0
2026-07-21 13:17:00+00:00,4056.98,4057.33,4055.79,4055.89,0.0
2026-07-21 13:18:00+00:00,4055.89,4056.35,4054.96,4055.96,0.0
2026-07-21 13:19:00+00:00,4055.88,4056.51,4055.19,4056.1,0.0
2026-07-21 13:20:00+00:00,4055.93,4057.18,4055.49,4055.64,0.0
2026-07-21 13:21:00+00:00,4055.68,4056.65,4053.81,4056.29,0.0
2026-07-21 13:22:00+00:00,4056.24,4057.43,4056.18,4056.39,0.0
2026-07-21 13:23:00+00:00,4056.42,4056.82,4053.97,4054.32,0.0
2026-07-21 13:24:00+00:00,4054.31,4054.45,4052.06,4052.68,0.0
2026-07-21 13:25:00+00:00,4052.69,4054.76,4052.69,4053.96,0.0
2026-07-21 13:26:00+00:00,4053.78,4054.2,4052.9,4053.61,0.0
2026-07-21 13:27:00+00:00,4053.26,4053.53,4051.88,4053.33,0.0
2026-07-21 13:28:00+00:00,4053.37,4053.53,4051.05,4051.5,0.0
2026-07-21 13:29:00+00:00,4051.38,4051.82,4050.52,4050.91,0.0
2026-07-21 13:30:00+00:00,4051.09,4052.66,4051.04,4051.45,0.0
2026-07-21 13:31:00+00:00,4051.42,4051.89,4047.91,4048.12,0.0
2026-07-21 13:32:00+00:00,4048.02,4053.8,4048.02,4053.8,0.0
2026-07-21 13:33:00+00:00,4053.84,4055.92,4053.1,4054.06,0.0
2026-07-21 13:34:00+00:00,4054.06,4057.41,4054.06,4056.08,0.0
2026-07-21 13:35:00+00:00,4056.08,4057.3,4055.84,4056.43,0.0
2026-07-21 13:36:00+00:00,4056.66,4057.3,4055.0,4055.0,0.0
2026-07-21 13:37:00+00:00,4054.95,4055.01,4051.26,4051.64,0.0
2026-07-21 13:38:00+00:00,4051.77,4053.39,4051.63,4053.0,0.0
2026-07-21 13:39:00+00:00,4052.99,4053.79,4052.21,4052.95,0.0
2026-07-21 13:40:00+00:00,4052.95,4053.77,4050.56,4051.85,0.0
2026-07-21 13:41:00+00:00,4051.97,4051.97,4049.71,4050.26,0.0
2026-07-21 13:42:00+00:00,4050.22,4050.73,4047.85,4048.35,0.0
2026-07-21 13:43:00+00:00,4048.3,4049.13,4047.11,4047.11,0.0
2026-07-21 13:44:00+00:00,4046.53,4047.21,4045.25,4046.31,0.0
2026-07-21 13:45:00+00:00,4046.61,4046.94,4044.87,4045.41,0.0
2026-07-21 13:46:00+00:00,4045.96,4047.26,4045.74,4047.23,0.0
2026-07-21 13:47:00+00:00,4047.1,4047.74,4045.48,4045.97,0.0
2026-07-21 13:48:00+00:00,4045.94,4048.9,4044.98,4048.9,0.0
2026-07-21 13:49:00+00:00,4048.84,4050.53,4048.8,4050.52,0.0
2026-07-21 13:50:00+00:00,4050.51,4051.76,4049.49,4049.54,0.0
2026-07-21 13:51:00+00:00,4049.5,4050.55,4046.91,4046.91,0.0
2026-07-21 13:52:00+00:00,4046.9,4049.67,4046.65,4049.63,0.0
2026-07-21 13:53:00+00:00,4049.68,4051.16,4048.6,4051.15,0.0
2026-07-21 13:54:00+00:00,4051.68,4052.78,4051.47,4052.36,0.0
2026-07-21 13:55:00+00:00,4052.35,4052.94,4051.27,4051.39,0.0
2026-07-21 13:56:00+00:00,4051.48,4051.68,4050.04,4050.77,0.0
2026-07-21 13:57:00+00:00,4050.82,4051.75,4050.42,4051.31,0.0
2026-07-21 13:58:00+00:00,4051.52,4052.84,4050.93,4052.84,0.0
2026-07-21 13:59:00+00:00,4052.99,4053.59,4052.03,4053.11,0.0
2026-07-21 14:00:00+00:00,4053.19,4054.67,4052.44,4053.45,0.0
2026-07-21 14:01:00+00:00,4053.36,4053.89,4051.95,4053.25,0.0
2026-07-21 14:02:00+00:00,4053.77,4054.39,4052.3,4053.14,0.0
2026-07-21 14:03:00+00:00,4053.2,4055.96,4053.09,4055.42,0.0
2026-07-21 14:04:00+00:00,4055.66,4056.69,4055.11,4056.57,0.0
2026-07-21 14:05:00+00:00,4056.52,4057.56,4056.09,4057.56,0.0
2026-07-21 14:06:00+00:00,4057.59,4059.47,4057.59,4058.77,0.0
2026-07-21 14:07:00+00:00,4058.67,4058.72,4055.26,4056.17,0.0
2026-07-21 14:08:00+00:00,4056.08,4056.47,4054.85,4055.0,0.0
2026-07-21 14:09:00+00:00,4055.06,4056.57,4054.79,4055.37,0.0
2026-07-21 14:10:00+00:00,4055.04,4059.9,4055.04,4059.9,0.0
2026-07-21 14:11:00+00:00,4059.92,4060.88,4059.11,4059.93,0.0
2026-07-21 14:12:00+00:00,4059.99,4064.97,4059.99,4062.77,0.0
2026-07-21 14:13:00+00:00,4062.58,4065.93,4062.46,4065.82,0.0
2026-07-21 14:14:00+00:00,4065.87,4066.0,4063.97,4066.0,0.0
2026-07-21 14:15:00+00:00,4066.03,4066.03,4062.8,4063.79,0.0
2026-07-21 14:16:00+00:00,4063.88,4063.96,4061.97,4062.03,0.0
2026-07-21 14:17:00+00:00,4062.02,4064.19,4061.22,4064.19,0.0
2026-07-21 14:18:00+00:00,4064.17,4067.62,4063.82,4067.36,0.0
2026-07-21 14:19:00+00:00,4067.17,4067.32,4063.71,4063.8,0.0
2026-07-21 14:20:00+00:00,4064.08,4064.08,4062.83,4063.04,0.0
2026-07-21 14:21:00+00:00,4063.05,4065.19,4062.78,4063.27,0.0
2026-07-21 14:22:00+00:00,4063.28,4063.79,4061.47,4062.34,0.0
2026-07-21 14:23:00+00:00,4062.75,4064.99,4062.75,4064.89,0.0
2026-07-21 14:24:00+00:00,4064.78,4065.08,4063.49,4064.98,0.0
2026-07-21 14:25:00+00:00,4064.95,4068.14,4064.31,4066.82,0.0
2026-07-21 14:26:00+00:00,4066.91,4067.47,4066.3,4067.21,0.0
2026-07-21 14:27:00+00:00,4067.2,4067.71,4065.71,4066.71,0.0
2026-07-21 14:28:00+00:00,4066.71,4067.94,4066.71,4067.78,0.0
2026-07-21 14:29:00+00:00,4067.78,4069.25,4067.58,4069.11,0.0
2026-07-21 14:30:00+00:00,4069.5,4073.76,4069.4,4072.95,0.0
2026-07-21 14:31:00+00:00,4072.63,4072.85,4070.66,4071.92,0.0
2026-07-21 14:32:00+00:00,4071.83,4072.38,4069.62,4069.67,0.0
2026-07-21 14:33:00+00:00,4070.11,4070.85,4069.22,4069.22,0.0
2026-07-21 14:34:00+00:00,4069.02,4069.16,4067.1,4067.11,0.0
2026-07-21 14:35:00+00:00,4066.9,4067.34,4065.05,4065.8,0.0
2026-07-21 14:36:00+00:00,4065.71,4066.43,4064.93,4065.14,0.0
2026-07-21 14:37:00+00:00,4065.26,4065.26,4063.83,4064.49,0.0
2026-07-21 14:38:00+00:00,4064.38,4064.39,4062.46,4063.77,0.0
2026-07-21 14:39:00+00:00,4063.69,4064.76,4062.89,4064.56,0.0
2026-07-21 14:40:00+00:00,4064.6,4065.36,4064.06,4065.36,0.0
2026-07-21 14:41:00+00:00,4065.23,4065.23,4063.02,4063.19,0.0
2026-07-21 14:42:00+00:00,4063.21,4065.52,4063.21,4064.7,0.0
2026-07-21 14:43:00+00:00,4064.73,4067.14,4064.73,4066.88,0.0
2026-07-21 14:44:00+00:00,4066.74,4068.0,4066.2,4067.74,0.0
2026-07-21 14:45:00+00:00,4067.6,4068.11,4067.15,4067.35,0.0
2026-07-21 14:46:00+00:00,4067.34,4068.23,4067.21,4067.57,0.0
2026-07-21 14:47:00+00:00,4067.42,4067.53,4066.43,4066.87,0.0
2026-07-21 14:48:00+00:00,4067.26,4070.28,4067.15,4068.72,0.0
2026-07-21 14:49:00+00:00,4068.74,4069.76,4068.43,4069.76,0.0
2026-07-21 14:50:00+00:00,4069.72,4070.42,4068.6,4069.34,0.0
2026-07-21 14:51:00+00:00,4069.32,4069.53,4067.9,4068.32,0.0
2026-07-21 14:52:00+00:00,4068.3,4070.76,4067.82,4070.06,0.0
2026-07-21 14:53:00+00:00,4070.08,4070.16,4066.8,4067.02,0.0
2026-07-21 14:54:00+00:00,4067.03,4069.21,4067.03,4069.13,0.0
2026-07-21 14:55:00+00:00,4069.2,4070.42,4068.9,4069.8,0.0
2026-07-21 14:56:00+00:00,4069.79,4070.15,4069.36,4069.74,0.0
2026-07-21 14:57:00+00:00,4069.54,4070.45,4068.8,4069.98,0.0
2026-07-21 14:58:00+00:00,4069.92,4070.47,4067.82,4067.98,0.0
2026-07-21 14:59:00+00:00,4067.86,4068.84,4067.59,4068.72,0.0
2026-07-21 15:00:00+00:00,4068.62,4071.06,4068.45,4070.2,0.0
2026-07-21 15:01:00+00:00,4070.14,4070.4,4068.27,4068.7,0.0
2026-07-21 15:02:00+00:00,4068.74,4070.08,4068.14,4069.43,0.0
2026-07-21 15:03:00+00:00,4069.32,4069.53,4068.04,4069.53,0.0
2026-07-21 15:04:00+00:00,4069.54,4069.54,4068.35,4068.44,0.0
2026-07-21 15:05:00+00:00,4068.41,4068.41,4065.94,4067.28,0.0
2026-07-21 15:06:00+00:00,4067.32,4067.74,4066.55,4067.11,0.0
2026-07-21 15:07:00+00:00,4067.09,4069.03,4066.8,4067.57,0.0
2026-07-21 15:08:00+00:00,4067.57,4068.09,4066.79,4068.01,0.0
2026-07-21 15:09:00+00:00,4068.02,4070.46,4067.83,4069.16,0.0
